iter	Passed	Remaining
891	2250	272
892	2253	269
893	2255	267
894	2258	264
895	2261	262
896	2263	259
897	2266	257
898	2269	254
899	2272	252
900	2275	249
901	2277	247
902	2280	244
903	2283	242
904	2285	239
905	2288	237
906	2290	234
907	2293	232
908	2296	229
909	2298	227
910	2301	224
911	2304	222
912	2307	219
913	2309	217
914	2312	214
915	2317	212
916	2320	210
917	2323	207
918	2328	205
919	2334	202
920	2340	200
921	2346	198
922	2354	196
923	2358	193
924	2363	191
925	2369	189
926	2373	186
927	2377	184
928	2381	182
929	2384	179
930	2387	176
931	2390	174
932	2393	171
933	2397	169
934	2400	166
935	2404	164
936	2408	161
937	2410	159
938	2414	156
939	2417	154
940	2420	151
941	2422	149
942	2425	146
943	2429	144
944	2432	141
945	2435	139
946	2437	136
947	2440	133
948	2442	131
949	2445	128
950	2448	126
951	2450	123
952	2453	121
953	2456	118
954	2458	115
955	2461	113
956	2463	110
957	2466	108
958	2468	105
959	2470	102
960	2473	100
961	2475	97
962	2478	95
963	2481	92
964	2483	90
965	2485	87
966	2488	84
967	2490	82
968	2494	79
969	2496	77
970	2499	74
971	2501	72
972	2503	69
973	2506	66
974	2508	64
975	2511	61
976	2513	59
977	2516	56
978	2518	54
979	2520	51
980	2523	48
981	2525	46
982	2528	43
983	2531	41
984	2534	38
985	2537	36
986	2540	33
987	2542	30
988	2545	28
989	2547	25
990	2549	23
991	2552	20
992	2554	18
993	2557	15
994	2559	12
995	2562	10
996	2564	7
997	2566	5
998	2569	2
999	2571	0
